word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
ass,5.45,0,1,-3,3,6.940333333,-3.056199305,-4.521364426,-1.916642526
awe,6.85,0,2,-3,3,7.743,-3.056199305,-3.521364426,-1.916642526
axe,3.48,0,2,-3,3,7.006333333,-3.056199305,-3.521364426,-1.916642526
bad,3.24,0,2,-3,3,4.637333333,-3.056199305,-3.521364426,-1.916642526
bag,5.05,0,2,-3,3,3.891333333,-3.056199305,-3.521364426,-1.916642526
bar,5,0,2,-3,3,5.215333333,-3.056199305,-3.521364426,-1.916642526
bat,4.81,0,2,-3,3,6.238333333,-3.056199305,-3.521364426,-1.916642526
bed,7.16,0,1,-3,3,6.149,-3.056199305,-4.521364426,-1.916642526
bee,3.68,0,1,-3,3,8.965333333,-3.056199305,-4.521364426,-1.916642526
beg,3.72,0,2,-3,3,5.403,-3.056199305,-3.521364426,-1.916642526
bet,4.95,0,2,-3,3,7.75,-3.056199305,-3.521364426,-1.916642526
bra,5.9,0,1,-3,3,5.215333333,-3.056199305,-4.521364426,-1.916642526
cab,4.81,0,2,-3,3,4.147,-3.056199305,-3.521364426,-1.916642526
car,6.63,0,2,-3,3,5.645333333,-3.056199305,-3.521364426,-1.916642526
cat,6.95,0,2,-3,3,6.668333333,-3.056199305,-3.521364426,-1.916642526
dab,5,0,2,-3,3,4.637333333,-3.056199305,-3.521364426,-1.916642526
dad,7.14,0,2,-3,3,5.557666667,-3.056199305,-3.521364426,-1.916642526
