Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
angry,2.85,3,3,-1,5,4.9784,0.482591876,-1.52417795,0.111218569
roach,2.35,3,4,-1,5,6.1074,0.482591876,-0.52417795,0.111218569
world,6.5,4,4,-1,5,4.8264,1.482591876,-0.52417795,0.111218569
field,6.2,4,4,-1,5,6.0348,1.482591876,-0.52417795,0.111218569
elbow,5.12,4,4,-1,5,5.6172,1.482591876,-0.52417795,0.111218569
chair,5.08,4,4,-1,5,5.9992,1.482591876,-0.52417795,0.111218569
chaos,4.17,4,4,-1,5,6.1754,1.482591876,-0.52417795,0.111218569
bland,4.1,4,4,-1,5,4.9372,1.482591876,-0.52417795,0.111218569
rifle,4.02,4,4,-1,5,6.3816,1.482591876,-0.52417795,0.111218569
fight,3.76,4,4,-1,5,5.2718,1.482591876,-0.52417795,0.111218569
rigid,3.66,4,4,-1,5,5.2374,1.482591876,-0.52417795,0.111218569
snake,3.31,4,4,-1,5,6.9434,1.482591876,-0.52417795,0.111218569
toxic,2.1,4,4,-1,5,5.2922,1.482591876,-0.52417795,0.111218569
champ,7.18,3,4,1,5,4.2756,0.482591876,-0.52417795,2.111218569
flirt,7.52,2,3,-1,5,5.6524,-0.517408124,-1.52417795,0.111218569
alive,7.25,2,4,-1,5,6.5676,-0.517408124,-0.52417795,0.111218569
bliss,6.95,2,3,-1,5,5.0274,-0.517408124,-1.52417795,0.111218569
white,6.47,2,4,-1,5,7.4356,-0.517408124,-0.52417795,0.111218569
quiet,5.58,2,4,-1,5,6.3154,-0.517408124,-0.52417795,0.111218569
cliff,4.67,2,3,-1,5,3.6458,-0.517408124,-1.52417795,0.111218569
whore,2.3,2,4,-1,5,6.93,-0.517408124,-0.52417795,0.111218569
thief,2.13,2,4,-1,5,7.4092,-0.517408124,-0.52417795,0.111218569
glory,7.55,3,3,1,5,4.3016,0.482591876,-1.52417795,2.111218569
